2025.03.14 22:17:22.451	Mouse Down: Left
2025.03.14 22:17:22.504	Mouse Up: Left
2025.03.14 22:17:22.565	Mouse Down: Left
2025.03.14 22:17:22.597	Mouse Up: Left
2025.03.14 22:17:22.650	Mouse Down: Left
2025.03.14 22:17:22.682	Mouse Up: Left
2025.03.14 22:17:22.771	Mouse Down: Left
2025.03.14 22:17:22.823	Mouse Up: Left
2025.03.14 22:17:22.874	Mouse Down: Left
2025.03.14 22:17:22.906	Mouse Up: Left
2025.03.14 22:17:22.953	Mouse Down: Left
2025.03.14 22:17:22.985	Mouse Up: Left
2025.03.14 22:17:23.073	Mouse Down: Left
2025.03.14 22:17:23.125	Mouse Up: Left
2025.03.14 22:17:23.177	Mouse Down: Left
2025.03.14 22:17:23.209	Mouse Up: Left
2025.03.14 22:17:23.258	Mouse Down: Left
2025.03.14 22:17:23.290	Mouse Up: Left
2025.03.14 22:17:23.389	Mouse Down: Left
2025.03.14 22:17:23.442	Mouse Up: Left
2025.03.14 22:17:23.492	Mouse Down: Left
2025.03.14 22:17:23.525	Mouse Up: Left
2025.03.14 22:17:23.571	Mouse Down: Left
2025.03.14 22:17:23.603	Mouse Up: Left
2025.03.14 22:17:23.692	Mouse Down: Left
2025.03.14 22:17:23.745	Mouse Up: Left
2025.03.14 22:17:23.796	Mouse Down: Left
2025.03.14 22:17:23.828	Mouse Up: Left
2025.03.14 22:17:23.872	Mouse Down: Left
2025.03.14 22:17:23.904	Mouse Up: Left
2025.03.14 22:17:23.989	Mouse Down: Left
2025.03.14 22:17:24.041	Mouse Up: Left
2025.03.14 22:17:24.091	Mouse Down: Left
2025.03.14 22:17:24.124	Mouse Up: Left
2025.03.14 22:17:24.171	Mouse Down: Left
2025.03.14 22:17:24.203	Mouse Up: Left
2025.03.14 22:17:24.279	Mouse Down: Left
2025.03.14 22:17:24.312	Mouse Up: Left
2025.03.14 22:17:24.384	Mouse Down: Left
2025.03.14 22:17:24.415	Mouse Up: Left
2025.03.14 22:17:24.463	Mouse Down: Left
2025.03.14 22:17:24.495	Mouse Up: Left
2025.03.14 22:17:24.601	Mouse Down: Left
2025.03.14 22:17:24.654	Mouse Up: Left
2025.03.14 22:17:24.704	Mouse Down: Left
2025.03.14 22:17:24.737	Mouse Up: Left
2025.03.14 22:17:24.783	Mouse Down: Left
2025.03.14 22:17:24.815	Mouse Up: Left
2025.03.14 22:17:24.904	Mouse Down: Left
2025.03.14 22:17:24.957	Mouse Up: Left
2025.03.14 22:17:25.007	Mouse Down: Left
2025.03.14 22:17:25.040	Mouse Up: Left
2025.03.14 22:17:25.093	Mouse Down: Left
2025.03.14 22:17:25.126	Mouse Up: Left
2025.03.14 22:17:25.220	Mouse Down: Left
2025.03.14 22:17:25.272	Mouse Up: Left
2025.03.14 22:17:25.322	Mouse Down: Left
2025.03.14 22:17:25.355	Mouse Up: Left
2025.03.14 22:17:25.401	Mouse Down: Left
2025.03.14 22:17:25.432	Mouse Up: Left
2025.03.14 22:17:25.522	Mouse Down: Left
2025.03.14 22:17:25.576	Mouse Up: Left
2025.03.14 22:17:25.644	Mouse Down: Left
2025.03.14 22:17:25.678	Mouse Up: Left
2025.03.14 22:17:25.783	Mouse Down: Left
2025.03.14 22:17:25.835	Mouse Up: Left
2025.03.14 22:17:25.886	Mouse Down: Left
